yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
2fw6,2fwp	Q2QJL3	Q2QJL3_ACEAC	unreviewed	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE	Acetobacter aceti	182
2g6q	Q9ESK4	ING2_MOUSE	reviewed	Inhibitor of growth protein 2 (Inhibitor of growth 1-like protein) (p33ING2)	Ing2 Ing1l	Mus musculus (Mouse)	281
2fl5	P01780	HV307_HUMAN	reviewed	Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON)	IGHV3-7	Homo sapiens (Human)	117
2fl5	P01861	IGHG4_HUMAN	reviewed	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)	IGHG4	Homo sapiens (Human)	327
2fl5	Q5FWF9	Q5FWF9_HUMAN	unreviewed	IGL@ protein	IGL@	Homo sapiens (Human)	232
1eoc,2buv	P20371	PCXA_ACIAD	reviewed	Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3) (3,4-PCD)	pcaG ACIAD1712	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	209
1eoc,2buv	P20372	PCXB_ACIAD	reviewed	Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3) (3,4-PCD)	pcaH ACIAD1711	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	241
2bmv	O25776	FLAV_HELPY	reviewed	Flavodoxin	fldA HP_1161	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	164
2cbz	P33527	MRP1_HUMAN	reviewed	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	Homo sapiens (Human)	1531
2haw	P37487	PPAC_BACSU	reviewed	Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppaC BSU40550	Bacillus subtilis (strain 168)	309
2clv	Q91YE7	RBM5_MOUSE	reviewed	RNA-binding protein 5 (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5)	Rbm5 Luca15	Mus musculus (Mouse)	815
2g2r	P84751	HVM63_MOUSE	reviewed	Ig heavy chain Mem5 (Fragment)		Mus musculus (Mouse)	237
2o4n	Q90SN9	Q90SN9_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	423
2gl0	Q8ZVF7	Q8ZVF7_PYRAE	unreviewed	Uncharacterized protein	PAE2307	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)	164
2fuu	Q7M3Z9	Q7M3Z9_HEMPU	unreviewed	Histone H3 (Fragment)		Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)	20
2idk	P13255	GNMT_RAT	reviewed	Glycine N-methyltransferase (EC 2.1.1.20) (Folate-binding protein)	Gnmt	Rattus norvegicus (Rat)	293
2flu	Q16236	NF2L2_HUMAN	reviewed	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2	Homo sapiens (Human)	605
2hmv,2hmw,2hmu	O32080	KTRA_BACSU	reviewed	Ktr system potassium uptake protein A (K(+)-uptake protein KtrA)	ktrA yuaA BSU31090	Bacillus subtilis (strain 168)	222
2hf8	Q57884	HYPB_METJA	reviewed	Probable hydrogenase maturation factor HypB	hypB MJ0442	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	221
2nm1	P29101	SYT2_RAT	reviewed	Synaptotagmin-2 (Synaptotagmin II) (SytII)	Syt2	Rattus norvegicus (Rat)	422
1i1e,1g9a,1g9b,1g9c,1g9d,2nm1	P10844	BXB_CLOBO	reviewed	Botulinum neurotoxin type B (BoNT/B) (Bontoxilysin-B) [Cleaved into: Botulinum neurotoxin B light chain (LC) (EC 3.4.24.69); Botulinum neurotoxin B heavy chain (HC)]	botB	Clostridium botulinum	1291
2h9n,2h9p,2h9m	Q6P823	H33_XENTR	reviewed	Histone H3.3	TGas113e22.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	136
2cia	O43639	NCK2_HUMAN	reviewed	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	Homo sapiens (Human)	380
2ez5	Q24139	COMM_DROME	reviewed	Protein commissureless 1 (Protein commissureless)	comm CG17943	Drosophila melanogaster (Fruit fly)	370
2ez5	Q9VVI3	NEDD4_DROME	reviewed	E3 ubiquitin-protein ligase Nedd-4 (DNedd4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)	Nedd4 CG7555	Drosophila melanogaster (Fruit fly)	1007
2h6b	Q8RPJ2	Q8RPJ2_DESHA	unreviewed	Putative transcription regulatory protein		Desulfitobacterium hafniense (Desulfitobacterium frappieri)	202
2fxv	P42085	XPT_BACSU	reviewed	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt BSU22070	Bacillus subtilis (strain 168)	194
2ca8,2c80	P30113	GST28_SCHBO	reviewed	Glutathione S-transferase class-mu 28 kDa isozyme (GST 28) (EC 2.5.1.18) (Sb28GST)		Schistosoma bovis (Blood fluke)	211
2fys	Q64346	DUS6_RAT	reviewed	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	Dusp6 Mkp3	Rattus norvegicus (Rat)	381
1yei,1yej,2c1p	Q58EU8	Q58EU8_MOUSE	unreviewed	Igk protein	Igk	Mus musculus (Mouse)	239
1kll,2a4w	O05205	O05205_STRLA	unreviewed	Mitomycin-binding protein (Mrd)	mrd	Streptomyces lavendulae	130
2gph	P35236	PTN7_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 7 (EC 3.1.3.48) (Hematopoietic protein-tyrosine phosphatase) (HEPTP) (Protein-tyrosine phosphatase LC-PTP)	PTPN7	Homo sapiens (Human)	360
2gz2	A0A0H2UPS5	A0A0H2UPS5_STRPN	unreviewed	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd SP_1013	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	358
2f5t	Q7LYW4	TRMBR_THELN	reviewed	HTH-type sugar sensing transcriptional regulator TrmB (Transcriptional regulator of mal operon)	trmB OCC_03542	Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C)	338
2o4l	Q1G1C3	Q1G1C3_9HIV1	unreviewed	Protease (Fragment)	pol	Human immunodeficiency virus 1	99
2cia,2ci9	B7UM99	TIR_ECO27	reviewed	Translocated intimin receptor Tir (Secreted effector protein Tir)	tir espE E2348C_3941	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	550
2ci9	P16333	NCK1_HUMAN	reviewed	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK	Homo sapiens (Human)	377
2fo4	Q3UBW0	Q3UBW0_MOUSE	unreviewed	Ig-like domain-containing protein	H2-K1	Mus musculus (Mouse)	347
1yon	P0A9J4	PANE_ECOLI	reviewed	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	panE apbA b0425 JW0415	Escherichia coli (strain K12)	303
1zea	Q921A6	Q921A6_MOUSE	unreviewed	Anti-CEA 79 single chain Fv (Fragment)		Mus musculus (Mouse)	241
2fsv,2frd,2fr8	P0C188	PNTB_RHORU	reviewed	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta) (Proton-translocating transhydrogenase NADP(H)-binding component) (Pyridine nucleotide transhydrogenase subunit beta) (dIII)	pntB nntB	Rhodospirillum rubrum	464
2fsv,2frd,2fr8	Q2RSB2	PNTAA_RHORT	reviewed	NAD(P) transhydrogenase subunit alpha part 1 (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha 1) (Proton-translocating transhydrogenase component 1) (Pyridine nucleotide transhydrogenase subunit alpha 1) (dI)	pntAA nntA1 Rru_A2183	Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIMB 8255 / S1)	384
2fci	Q32PK0	Q32PK0_BOVIN	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	SYK	Bos taurus (Bovine)	605
2hmh	O35718	SOCS3_MOUSE	reviewed	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (Protein EF-10)	Socs3 Cis3 Cish3	Mus musculus (Mouse)	225
2hmh	Q00560	IL6RB_MOUSE	reviewed	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	Il6st	Mus musculus (Mouse)	917
2fqw,2fqy,2fqx	P29724	TMPC_TREPA	reviewed	Membrane lipoprotein TmpC (Membrane protein C) (35 kDa antigen) (Lipoprotein TpN35) (Purine nucleoside receptor A) (PnrA)	tmpC TP_0319	Treponema pallidum (strain Nichols)	353
2gtv	Q57696	CHMU_METJA	reviewed	Chorismate mutase (CM) (EC 5.4.99.5) (Monofunctional chorismate mutase AroQ(f))	aroQ aroQ(f) MJ0246	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	99
1zsh	P17870	ARRB1_BOVIN	reviewed	Beta-arrestin-1 (Arrestin beta-1) (Arrestin-2)	ARRB1	Bos taurus (Bovine)	418
2fkf,2h5a	P26276	ALGC_PSEAE	reviewed	Phosphomannomutase/phosphoglucomutase (PMM / PGM) (EC 5.4.2.2) (EC 5.4.2.8)	algC PA5322	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	463
2drc,1dhj,1dhi,2d0k	P0ABQ4	DYR_ECOLI	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	folA tmrA b0048 JW0047	Escherichia coli (strain K12)	159
2fts	P20781	GLRB_RAT	reviewed	Glycine receptor subunit beta (Glycine receptor 58 kDa subunit)	Glrb	Rattus norvegicus (Rat)	496
1p0y,1ozv,2h21,2h23,2h2j,2h2e	Q43088	RBCMT_PEA	reviewed	Ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase, chloroplastic (EC 2.1.1.127) ([Fructose-bisphosphate aldolase]-lysine N-methyltransferase) (EC 2.1.1.259) ([Ribulose-bisphosphate carboxylase]-lysine N-methyltransferase) (PsLSMT) (RuBisCO LSMT) (RuBisCO methyltransferase) (rbcMT)	RBCMT	Pisum sativum (Garden pea)	489
2exg	P55196	AFAD_HUMAN	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	AFDN AF6 MLLT4	Homo sapiens (Human)	1824
2a4g	Q9QP61	Q9QP61_9HEPC	unreviewed	Genome polyprotein		Hepatitis C virus subtype 1b	3010
1rtl,2a4q	O39914	O39914_9HEPC	unreviewed	Non-structural protein 4a/b (Fragment)	NS4a/b	Hepacivirus C	88
2hwg	P08839	PT1_ECOLI	reviewed	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI b2416 JW2409	Escherichia coli (strain K12)	575
1vcu,2f0z,2f10	Q9Y3R4	NEUR2_HUMAN	reviewed	Sialidase-2 (EC 3.2.1.18) (Cytosolic sialidase) (N-acetyl-alpha-neuraminidase 2)	NEU2	Homo sapiens (Human)	380
2fqo,2fqt	O34667	LUXS_BACSU	reviewed	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS ytjB BSU30670	Bacillus subtilis (strain 168)	157
2i0d	O38731	O38731_9HIV1	unreviewed	Protease (Fragment)	pol	Human immunodeficiency virus 1	99
1lcp,1lan,2j9a,2ewb	P00727	AMPL_BOVIN	reviewed	Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (LAP) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)	LAP3	Bos taurus (Bovine)	519
2anl	O60990	O60990_PLAMA	unreviewed	Plasmepsin (Plasmepsin IV, putative (PM4)) (Plasmepsin, putative)	PmUG01_13050400 PmlGA01_130044400 PMALA_027650 PMLGA01_130044400 PMUG01_13050400	Plasmodium malariae	451
2gvv	Q7SIG4	DFPA_LOLVU	reviewed	Diisopropyl-fluorophosphatase (DFPase) (EC 3.1.8.2)		Loligo vulgaris (Common European squid)	314
2dua	Q84G06	PPHA_VARSP	reviewed	Phosphonopyruvate hydrolase (PPH) (EC 3.11.1.3)	pphA palA	Variovorax sp. (strain Pal2)	290
2am4	P27115	MGAT1_RABIT	reviewed	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)	MGAT1 GNT1	Oryctolagus cuniculus (Rabbit)	447
2dw7	Q89FH0	TARD_BRADU	reviewed	D(-)-tartrate dehydratase (EC 4.2.1.81)	tarD bll6730	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	389
2cn0	P28503	HIR2A_HIRME	reviewed	Hirudin-2A (Hirudin IIA)		Hirudo medicinalis (Medicinal leech)	65
2gsu	Q8PIS1	Q8PIS1_XANAC	unreviewed	Phosphodiesterase-nucleotide pyrophosphatase	XAC2824	Xanthomonas axonopodis pv. citri (strain 306)	432
2d2v,2b1r,2b1q	P74325	P74325_SYNY3	unreviewed	Sucrose-phosphate phosphatase (EC 3.1.3.24)	slr0953	Synechocystis sp. (strain PCC 6803 / Kazusa)	244
2i0e	P05771	KPCB_HUMAN	reviewed	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	PRKCB PKCB PRKCB1	Homo sapiens (Human)	671
2f2h	P31434	XYLS_ECOLI	reviewed	Alpha-xylosidase (EC 3.2.1.177)	yicI b3656 JW3631	Escherichia coli (strain K12)	772
2ioa	P0AES0	GSP_ECOLI	reviewed	Bifunctional glutathionylspermidine synthetase/amidase (GspSA) [Includes: Glutathionylspermidine amidase (Gsp amidase) (EC 3.5.1.78) (Glutathionylspermidine amidohydrolase [spermidine-forming]); Glutathionylspermidine synthetase (Gsp synthetase) (EC 6.3.1.8) (Glutathione:spermidine ligase [ADP-forming]) (Gsp synthase)]	gss gsp b2988 JW2956	Escherichia coli (strain K12)	619
2aez	Q93X60	Q93X60_CICIN	unreviewed	Fructan 1-exohydrolase IIa (EC 3.2.1.80)	1-feh IIa	Cichorium intybus (Chicory)	581
1hyo,2hzy	P35505	FAAA_MOUSE	reviewed	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	Fah	Mus musculus (Mouse)	419
2i80	Q5HEB7	DDL_STAAC	reviewed	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	ddl SACOL2074	Staphylococcus aureus (strain COL)	356
1uwu,1uwt,2cer,2ceq	P22498	BGAL_SACS2	reviewed	Beta-galactosidase (Lactase) (EC 3.2.1.23)	lacS SSO3019	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	489
2gbf,2i3z,2gbi,2gbg	P14740	DPP4_RAT	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Bile canaliculus domain-specific membrane glycoprotein) (Dipeptidyl peptidase IV) (DPP IV) (GP110 glycoprotein) (T-cell activation antigen CD26) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form); Dipeptidyl peptidase 4 60 kDa soluble form (Dipeptidyl peptidase IV 60 kDa soluble form)]	Dpp4 Cd26	Rattus norvegicus (Rat)	767
2gmk	P22069	RNP30_LITPI	reviewed	Protein P-30 (EC 3.1.27.-) (Onconase)		Lithobates pipiens (Northern leopard frog) (Rana pipiens)	104
1p01,1p05,1p10,1p04,1p06,1p03,1p02,2lpr,3lpr,9lpr,8lpr,5lpr,6lpr,7lpr,2h5d	P00778	PRLA_LYSEN	reviewed	Alpha-lytic protease (EC 3.4.21.12) (Alpha-lytic endopeptidase)	alpha-LP	Lysobacter enzymogenes	397
1orw,2buc,2bua,2ajd,2ajb,2aj8	P22411	DPP4_PIG	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 CD26	Sus scrofa (Pig)	766
2fah	P21642	PCKGM_CHICK	reviewed	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)	PCK2	Gallus gallus (Chicken)	641
2ohv	Q9A1B7	MURI_STRP1	reviewed	Glutamate racemase (EC 5.1.1.3)	murI glr SPy_0361 M5005_Spy0303	Streptococcus pyogenes serotype M1	264
1m51,1nhx,2gmv	P35558	PCKGC_HUMAN	reviewed	Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)	PCK1 PEPCK1	Homo sapiens (Human)	622
2pzi	P9WI73	PKNG_MYCTU	reviewed	Serine/threonine-protein kinase PknG (EC 2.7.11.1)	pknG Rv0410c MTCY22G10.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	750
2o7v	Q0ZPV7	CXE1_ACTER	reviewed	Carboxylesterase 1 (AeCXE1) (EC 3.1.1.1)	CXE1	Actinidia eriantha (Velvet vine) (Actinidia fulvicoma var. lanata)	335
5prc,6prc,7prc,2jbl	P06008	RCEH_BLAVI	reviewed	Reaction center protein H chain (Photosynthetic reaction center H subunit)	puhA	Blastochloris viridis (Rhodopseudomonas viridis)	258
5prc,6prc,7prc,2jbl	P06009	RCEL_BLAVI	reviewed	Reaction center protein L chain (Photosynthetic reaction center L subunit)	pufL	Blastochloris viridis (Rhodopseudomonas viridis)	274
5prc,6prc,7prc,2jbl	P06010	RCEM_BLAVI	reviewed	Reaction center protein M chain (Photosynthetic reaction center M subunit)	pufM	Blastochloris viridis (Rhodopseudomonas viridis)	324
5prc,6prc,7prc,2jbl	P07173	CYCR_BLAVI	reviewed	Photosynthetic reaction center cytochrome c subunit (Cytochrome c558/c559)	pufC cytC BVIRIDIS_00500	Blastochloris viridis (Rhodopseudomonas viridis)	356
2q7m	P20292	AL5AP_HUMAN	reviewed	Arachidonate 5-lipoxygenase-activating protein (FLAP) (MK-886-binding protein)	ALOX5AP FLAP	Homo sapiens (Human)	161
2p3o	Q9WLZ5	Q9WLZ5_9FLAV	unreviewed	Genome polyprotein	DENPoly	Dengue virus 2	3391
2p3o	P12823	POLG_DEN2P	reviewed	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2)	3388
1xb7,2pjl	P11474	ERR1_HUMAN	reviewed	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	ESRRA ERR1 ESRL1 NR3B1	Homo sapiens (Human)	423
2v0c	Q7SIE4	Q7SIE4_THETH	unreviewed	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS	Thermus thermophilus	878
2fw3,2rcu	P18886	CPT2_RAT	reviewed	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)	Cpt2 Cpt-2	Rattus norvegicus (Rat)	658
2h1h	P24173	RFAC_ECOLI	reviewed	Lipopolysaccharide heptosyltransferase 1 (EC 2.-.-.-)	rfaC rfa-2 waaC yibC b3621 JW3596	Escherichia coli (strain K12)	319
2o48,2poq	Q9TQS6	DHDH_MACFA	reviewed	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (Cmo2DD) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase)	DHDH 2DD	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	334
2fq6,2gqn	P06721	METC_ECOLI	reviewed	Cystathionine beta-lyase MetC (CBL) (CL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine desulfhydrase MetC) (CD) (EC 4.4.1.28) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)	metC b3008 JW2975	Escherichia coli (strain K12)	395
1y8p,1y8o,2q8i	P10515	ODP2_HUMAN	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	DLAT DLTA	Homo sapiens (Human)	647
1y8p,1y8o,2q8i	Q15120	PDK3_HUMAN	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 3)	PDK3 PDHK3	Homo sapiens (Human)	406
2r8q	Q6S996	Q6S996_LEIMA	unreviewed	Phosphodiesterase (EC 3.1.4.-)	PDEB1	Leishmania major	940
2i5f	P08567	PLEK_HUMAN	reviewed	Pleckstrin (Platelet 47 kDa protein) (p47)	PLEK P47	Homo sapiens (Human)	350
3bcn	A5YVK8	A5YVK8_TABDI	unreviewed	Ervatamin-A (EC 3.4.22.-) (Fragment)		Tabernaemontana divaricata (Crepe jasmine) (Ervatamia coronaria)	184
1tlo,1tl9,2nqg,2nqi	P97571	CAN1_RAT	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Micromolar-calpain) (muCANP)	Capn1 Cls1	Rattus norvegicus (Rat)	713
2pcu	Q9UI42	CBPA4_HUMAN	reviewed	Carboxypeptidase A4 (EC 3.4.17.-) (Carboxypeptidase A3)	CPA4 CPA3 UNQ694/PRO1339	Homo sapiens (Human)	421
2e7l	A2NTU7	A2NTU7_MOUSE	unreviewed	Cytotoxic Tcell receptor		Mus musculus (Mouse)	268
2p0d	Q9BRR9	RHG09_HUMAN	reviewed	Rho GTPase-activating protein 9 (Rho-type GTPase-activating protein 9)	ARHGAP9	Homo sapiens (Human)	750
2gek,2gej	A0QWG6	PIMA_MYCS2	reviewed	Phosphatidyl-myo-inositol mannosyltransferase (EC 2.4.1.345) (Alpha-mannosyltransferase) (GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase) (Guanosine diphosphomannose-phosphatidyl-inositol alpha-mannosyltransferase) (Phosphatidylinositol alpha-mannosyltransferase) (PI alpha-mannosyltransferase)	pimA MSMEG_2935 MSMEI_2861	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	386
2jbv	Q7X2H8	CHOX_ARTGO	reviewed	Choline oxidase (EC 1.1.3.17)	codA	Arthrobacter globiformis	546
2qki	P01024	CO3_HUMAN	reviewed	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3 CPAMD1	Homo sapiens (Human)	1663
2pfy	Q7VXB1	Q7VXB1_BORPE	unreviewed	Putative exported protein	BP1891	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	321
2hkf	P01631	KV2A7_MOUSE	reviewed	Ig kappa chain V-II region 26-10		Mus musculus (Mouse)	113
2qpq	Q7W019	Q7W019_BORPE	unreviewed	Putative exported protein	BP0682	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	330
2jnw	P07992	ERCC1_HUMAN	reviewed	DNA excision repair protein ERCC-1	ERCC1	Homo sapiens (Human)	297
2jnw	P23025	XPA_HUMAN	reviewed	DNA repair protein complementing XP-A cells (Xeroderma pigmentosum group A-complementing protein)	XPA XPAC	Homo sapiens (Human)	273
2qx0	A0A5P8YCA3	A0A5P8YCA3_YERPE	unreviewed	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase)	folK YPO3400 ISU56_17680 ISU59_16390	Yersinia pestis	159
2nnd	P02762	MUP6_MOUSE	reviewed	Major urinary protein 6 (MUP 6) (Alpha-2U-globulin) (Group 1, BS6) (allergen Mus m 1)	Mup6	Mus musculus (Mouse)	180
2nnd	P11589	MUP2_MOUSE	reviewed	Major urinary protein 2 (MUP 2)	Mup2	Mus musculus (Mouse)	180
2r7g	P03255	E1A_ADE05	reviewed	Early E1A protein (Early E1A 32 kDa protein)		Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5)	289
2qm7	Q8RPA0	Q8RPA0_METEX	unreviewed	GTPase/ATPase	meaB	Methylorubrum extorquens (Methylobacterium dichloromethanicum) (Methylobacterium extorquens)	329
2e5y	P07678	ATPE_BACP3	reviewed	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC	Bacillus sp. (strain PS3)	132
